y,x,frame,t,vial,climbing,1
184.95,196.99,124,4.96,1,climbing,
128.69,171.85,124,4.96,1,climbing,
53.64,168.34,124,4.96,1,climbing,
36.37,241.84,124,4.96,1,climbing,
348.68,224.97,125,5.0,1,climbing,
187.92,197.3,125,5.0,1,climbing,
126.93,172.85,125,5.0,1,climbing,
53.67,168.33,125,5.0,1,climbing,
36.39,241.9,125,5.0,1,climbing,
348.9,223.98,126,5.04,1,climbing,
194.5,200.95,126,5.04,1,climbing,
125.81,173.79,126,5.04,1,climbing,
53.6,168.37,126,5.04,1,climbing,
36.41,241.96,126,5.04,1,climbing,
348.75,222.09,127,5.08,1,climbing,
197.37,201.01,127,5.08,1,climbing,
124.97,174.89,127,5.08,1,climbing,
53.59,168.38,127,5.08,1,climbing,
36.41,242.0,127,5.08,1,climbing,
348.78,220.93,128,5.12,1,climbing,
196.79,201.15,128,5.12,1,climbing,
122.82,176.57,128,5.12,1,climbing,
53.62,168.4,128,5.12,1,climbing,
36.4,242.84,128,5.12,1,climbing,
348.61,219.0,129,5.16,1,climbing,
199.83,202.84,129,5.16,1,climbing,
125.91,174.19,129,5.16,1,climbing,
53.65,168.4,129,5.16,1,climbing,
36.4,242.88,129,5.16,1,climbing,
348.15,217.09,130,5.2,1,climbing,
202.79,202.88,130,5.2,1,climbing,
124.98,174.35,130,5.2,1,climbing,
53.61,168.43,130,5.2,1,climbing,
36.41,242.92,130,5.2,1,climbing,
348.68,216.98,131,5.24,1,climbing,
208.47,204.77,131,5.24,1,climbing,
121.09,178.81,131,5.24,1,climbing,
53.61,168.43,131,5.24,1,climbing,
36.33,243.01,131,5.24,1,climbing,
349.17,216.23,132,5.28,1,climbing,
208.78,205.32,132,5.28,1,climbing,
121.21,179.09,132,5.28,1,climbing,
53.31,168.84,132,5.28,1,climbing,
36.16,243.89,132,5.28,1,climbing,
349.46,216.37,133,5.32,1,climbing,
214.29,204.69,133,5.32,1,climbing,
119.32,180.65,133,5.32,1,climbing,
53.66,168.46,133,5.32,1,climbing,
36.16,243.95,133,5.32,1,climbing,
349.81,215.41,134,5.36,1,climbing,
214.75,205.28,134,5.36,1,climbing,
118.93,180.91,134,5.36,1,climbing,
53.69,168.44,134,5.36,1,climbing,
36.28,243.96,134,5.36,1,climbing,
